Model,Split,MAE,RMSE,MAPE,R2
Naive forecast,validation,12.496864444745256,16.685461429739803,0.672665538203352,0.9735411579999245
MA 7 baseline,validation,21.758129589291237,27.794550994785528,1.1732309468275053,0.9265801123818705
MA 14 baseline,validation,29.68506492460072,37.35645004359728,1.5987008009929728,0.8673749417171528
MA 30 baseline,validation,39.83109726438953,49.40249035761116,2.1426085132379797,0.7680512297876858
Naive forecast,test,33.72158154859967,55.58793540423657,0.9608861851381931,0.9963414945156795
MA 7 baseline,test,57.58554798969243,86.36033145416975,1.6343266594944765,0.9911697861170358
MA 14 baseline,test,73.65025068513364,111.03332976911402,2.1085252638876293,0.9854034792122272
MA 30 baseline,test,103.13668544712728,152.43140806906092,2.9495931501788895,0.972489939540332
