Model,MAE valid,RMSE valid,MAPE valid,R2 valid,MAE test,RMSE test,MAPE test,R2 test,Training time,Validation training time,Best params
Linear Regression,12.942124447442025,17.195187638377526,0.6961248123256282,0.9718998764928979,34.29324534618862,55.51060480165174,0.9740320756771152,0.9963516664224003,0.00268416601466015,0.01750995800830424,{}
Ridge Regression,12.952315562622527,17.196260453545722,0.6966874193832057,0.9718963700258817,34.73097198631787,55.818253185088864,0.9860870750497212,0.9963111151007292,0.0014147080073598772,0.0023318330058827996,"{""alpha"": 0.1}"
Gradient Boosting Regressor,19.437889967229733,28.284380162144732,1.0207010974744994,0.923969521843193,1212.0497345973702,1522.159623432371,32.43279578171259,-1.7432350275442499,1.9835054579889402,1.6376307079917751,"{""n_estimators"": 220, ""learning_rate"": 0.03, ""max_depth"": 2, ""subsample"": 0.9}"
Random Forest Regressor,21.1578311600951,30.816171293970267,1.1074028624914574,0.9097490568475322,1202.7806486611978,1512.6816054148119,32.15695569406691,-1.709178832267198,0.5539307910075877,0.50090137499501,"{""n_estimators"": 220, ""max_depth"": 6, ""min_samples_leaf"": 2}"
MLPRegressor,109.89677077599046,131.51492228910942,5.859982989512789,-0.6437828894515489,821.2286607605649,1066.5115790120567,21.896945875600345,-0.3467090290284571,2.836298665992217,2.347259791014949,"{""hidden_layer_sizes"": [96, 48], ""alpha"": 0.003, ""learning_rate_init"": 0.001}"
